0859017C-B565-45A4-8076-1517EF80B28B#appfire#01.1001.1003.1003.#appfire##appfire#Sales.sales.web.sales.view.authentication.QuestionMain#appfire##appfire#1#appfire#0#appfire#Question#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#64A2AFBE-69AA-4BF2-B6B8-85A2F6E7483A
127D6FD2-B3C0-4889-8885-3E45D74960EA#appfire#01.1001.1001.1007.#appfire##appfire#Sales.sales.web.sales.view.location.DistrictMain#appfire##appfire#1#appfire#0#appfire#District#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#D1D21F2C-E9A5-4DC5-BEF5-D0588AFC195F
12CA7069-485D-419C-8E65-885805E4D75F#appfire#01.1001.1003.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#authentication#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#null
13DABE47-B625-4D3F-94E6-62EA586E51C0#appfire#02.1004.1001.#appfire##appfire#Buzzor.view.usermanagement.roles.RoleManagement#appfire##appfire#1#appfire#0#appfire#Role Feature#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#null
1D6AB365-BDFD-41F2-969D-F7AA9DC096F3#appfire#01.1001.1003.1002.#appfire##appfire#Sales.sales.web.sales.view.authentication.PasswordPolicyMain#appfire##appfire#1#appfire#0#appfire#Password Policy#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#7B02475C-49F7-4CA7-9E16-F691390D9A38
22FE4314-1A01-42F0-8094-A8231ABD225B#appfire#02.1003.1001.#appfire##appfire#Buzzor.view.securityconfig.SecurityConfig#appfire##appfire#1#appfire#0#appfire#Security Configuration#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#null
2DAEC7EB-7A1B-40CD-8800-768A6F365890#appfire#01.1001.1001.1010.#appfire##appfire#Sales.sales.web.sales.view.location.VillageMain#appfire##appfire#1#appfire#0#appfire#Village#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#836D3D72-CFFA-48AE-B2FD-58D9CE17DFF5
2F5DF664-BC74-4089-A5BC-B62D412E7AC3#appfire#01.1001.1001.1011.#appfire##appfire#Sales.sales.web.sales.view.location.AddressTypeMain#appfire##appfire#1#appfire#0#appfire#Address Type#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#A567A2F4-7EAB-416A-BF2B-1F74B944C461
3155BE96-FC02-4D2F-85D8-C98ADDACA901#appfire#02.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Log Setup#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#null
3284AC29-EC00-48A5-9F6C-DDF818B0CFA7#appfire#02.1004.1004.#appfire##appfire#Buzzor.view.usermanagement.enduser.EndUserProfileMainView#appfire##appfire#1#appfire#0#appfire#User Profile#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#null
3A86D384-0445-4851-AC90-9DD3F46EC924#appfire#01.1001.1002.1002.#appfire##appfire#Sales.sales.web.sales.view.contacts.CommunicationGroupMain#appfire##appfire#1#appfire#0#appfire#Communication Group#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#EF84688A-E727-4CCD-8D47-BFEEF7D3F47F
3AD8F1EE-E9BB-4B0E-BE9E-63C7878CB596#appfire#01.1001.1001.1005.#appfire##appfire#Sales.sales.web.sales.view.location.StateMain#appfire##appfire#1#appfire#0#appfire#State#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#B6B74BD6-FEE4-4BF2-ADD9-C9E0D62D828A
482C9156-9FDC-4B83-9655-54A757F39ECE#appfire#02.1004.1003.#appfire##appfire#Buzzor.view.usermanagement.admin.AdminUserManagement#appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#\N#appfire#2015-10-30 11:28:53#appfire#\N#appfire#2015-10-30 11:28:53#appfire#1#appfire#1#appfire#AQI9TWFJBCZH4VO1AW5CW#appfire#1#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#null
